month,currency,total_charge_volume,total_invoice_volume
2023-04,brl,0,2.00
2023-05,brl,0,4.00
2023-06,brl,0,1202.00
2023-08,brl,0,12000.00
2024-01,brl,0,8400.00
2024-02,brl,13.00,11.00
2024-03,brl,3.00,0
2024-04,brl,110422.70,160200.95
2024-05,brl,40206.18,9002.06
2024-06,brl,9007.06,9007.06
2024-07,brl,9002.06,33093.58
2024-08,brl,17873.74,16729.42
2024-09,brl,25334.28,29042.76
2024-10,usd,6.00,1.00
2024-10,brl,156174.32,901002.76
2024-11,brl,406259.00,510768.24
2024-12,brl,186221.92,398645.96
2025-01,brl,219338.50,294087.68
2025-02,brl,109973.66,396805.72
2025-03,brl,99130.16,189879.34
2025-04,brl,174443.77,345137.93
2025-05,brl,136992.39,555089.65
2025-06,brl,148826.71,174844.38
2025-07,brl,116464.85,256659.42
2025-08,brl,190908.52,435432.42
2025-09,brl,274608.51,549614.07
2025-10,brl,252560.00,575278.34
2025-11,brl,124900.00,434480.92
2025-12,brl,160100.00,219632.61
2026-01,brl,87906.49,137068.52
2026-02,brl,155642.78,458470.74
2026-03,brl,209000.00,493852.68
2026-03,usd,0,1.00
2026-04,brl,148020.00,301871.30
2026-05,brl,165726.78,946673.52
2026-06,brl,186742.26,380901.20
2026-07,brl,146400.00,754044.00
2026-08,brl,128560.00,368728.52
