mes,charge,invoice
2023-04,0,0
2023-05,0,0
2023-06,0,0
2023-07,0,0
2023-08,0,0
2023-09,0,0
2023-10,0,0
2023-11,0,0
2023-12,0,0
2024-01,0,0
2024-02,0,0
2024-03,0,0
2024-04,110000,160000
2024-05,120000,170000
2024-06,130000,180000
2024-07,140000,190000
2024-08,150000,200000
2024-09,160000,210000
2024-10,160000,901000
2024-11,406000,120000
2024-12,120000,130000
2025-01,140000,145000
2025-02,145000,150000
2025-03,150000,155000
2025-04,155000,160000
2025-05,160000,165000
2025-06,165000,170000
2025-07,170000,175000
2025-08,175000,180000
2025-09,180000,185000
2025-10,185000,190000
2025-11,190000,195000
2025-12,195000,200000
2026-01,200000,205000
2026-02,205000,210000
2026-03,210000,215000
2026-04,215000,220000
2026-05,220000,225000
2026-06,225000,230000
2026-07,230000,235000
2026-08,235000,240000
